lat,lon,value
33.61,-111.92,4
33.65,-112.2,5
33.32,-111.98,8
33.63,-112.4,33
33.3,-112.1,3
33.73,-112.27,4
33.61,-111.9,5
33.65,-112.22,8
33.31,-112.04,1
32.98,-112.63,1
33.68,-112.02,2
33.41,-111.92,47
33.29,-111.83,3
33.74,-111.97,1
33.36,-111.96,13
33.63,-112.32,1
33.35,-111.89,6
32.69,-114.52,1
33.3,-111.88,4
33.36,-111.94,11
33.81,-111.96,1
33.63,-112.34,8
33.36,-111.92,7
33.29,-112.06,3
33.5,-111.84,1
33.58,-112.1,1
33.71,-112.21,13
33.51,-112.23,4
33.29,-112.09,2
33.38,-111.9,6
33.71,-112.23,1
33.62,-111.96,8
32.62,-110.64,1
33.41,-111.9,10
33.87,-112.3,12
33.38,-111.92,11
33.51,-112.27,3
33.62,-111.94,15
34.31,-112.13,1
33.61,-112.41,4
33.46,-112.08,5
33.4,-112.07,19
33.39,-111.94,19
33.45,-112.19,5
34.12,-114.31,10
33.34,-111.64,1
33.45,-112.03,12
33.4,-112.05,2
33.67,-112.26,8
33.38,-111.98,8
33.46,-111.93,18
33.58,-112.14,8
33.41,-111.98,1
33.51,-112.33,10
33.31,-111.91,3
34.41,-112.6,2
33.31,-111.98,18
33.45,-112.07,36
33.58,-112.16,4
33.72,-111.69,2
33.51,-112.35,3
33.32,-111.96,5
33.56,-111.83,1
34.16,-111.34,1
33.32,-111.94,6
33.41,-112.46,1
33.24,-111.82,13
35.23,-113.23,1
33.39,-111.9,6
33.59,-112.07,3
33.46,-112.06,8
33.24,-111.8,9
33.55,-112.26,2
33.39,-111.96,1
32.92,-111.66,1
34.25,-111.26,3
33.7,-112.18,10
33.69,-112.13,2
33.6,-112.4,1
32.19,-110.76,1
33.56,-111.91,2
32.84,-113.28,1
33.72,-112.2,4
33.36,-111.98,10
33.79,-112.28,1
33.6,-112.42,1
33.29,-112.02,40
33.22,-111.79,4
33.39,-111.98,3
33.15,-111.87,1
33.68,-112.15,1
33.45,-112.36,3
33.72,-112.22,1
33.28,-111.79,1
33.45,-112.38,2
33.45,-112.09,5
34.25,-112.12,1
33.72,-112.52,1
32.97,-111.56,1
33.69,-112.05,1
33.13,-111.59,2
33.4,-111.91,16
33.57,-111.93,14
36.85,-111.51,1
32.72,-110.65,1
33.62,-111.98,2
33.57,-111.91,2
33.28,-111.98,2
33.2,-111.75,17
33.5,-112.39,2
33.57,-111.97,1
33.65,-112,2
33.52,-112.19,6
34.92,-111.45,1
33.75,-111.78,1
33.5,-112.35,2
33.42,-112.29,4
33.62,-112.41,20
33.58,-112.18,18
33.53,-112.25,2
33.69,-112.01,1
33.5,-112.29,8
33.53,-112.27,38
33.42,-112.25,10
34.95,-111.68,2
33.53,-112.21,12
33.57,-111.85,3
33.27,-111.1,1
34.41,-110.56,1
33.32,-112.51,1
35.23,-114.58,1
33.31,-111.93,8
33.33,-112.02,1
33.68,-112.27,15
33.5,-112.27,4
33.48,-112.16,34
33.57,-112.19,4
33.31,-111.81,2
33.66,-112.18,13
35.05,-109.79,1
33.5,-112.21,1
33.48,-112.18,7
33.42,-112.35,2
33.08,-112.03,2
33.41,-112.24,1
34.67,-111.77,1
32.43,-110.94,1
33.48,-112.38,3
33.5,-112.37,1
33.66,-112.25,1
33.53,-112.37,2
33.62,-112.43,10
33.2,-111.84,1
35.14,-114.54,6
33.48,-112.34,9
33.47,-112.05,3
33.48,-112.08,28
31.94,-110.92,7
33,-110.79,1
33.56,-111.89,2
33.59,-111.98,2
33.68,-112.23,2
34.66,-114.32,1
33.59,-111.87,1
33.33,-112,3
33.65,-111.95,1
33.68,-112.21,2
